ds,yhat,yhat_lower,yhat_upper
2025-05-14,4347130.42576274,3756123.801806053,4935090.722175432
2025-05-15,4240782.272320209,3678463.5915899794,4798929.214550549
2025-05-16,4167723.583838005,3573759.3693573913,4732799.730109975
2025-05-17,4673643.1964131305,4097436.3716240125,5234895.728642
2025-05-18,4861463.122497877,4295912.758423905,5471359.272213468
2025-05-19,4113383.133273016,3564144.6572495373,4699982.634384948
2025-05-20,4040344.9958805563,3488482.996940106,4600841.043951909
2025-05-21,4140963.767495743,3554617.183863152,4707661.328752676
2025-05-22,4042603.9688505363,3495009.2744807554,4626676.226964794
2025-05-23,3981026.643846264,3415979.8645858727,4525846.232485495
2025-05-24,4501728.542932347,3905777.327874188,5098931.593997865
2025-05-25,4707382.378888298,4222568.378023999,5311353.920944402
2025-05-26,3979887.4616332976,3421711.0047180145,4563330.31810681
2025-05-27,3929840.704623103,3400822.6542977104,4490777.741579941
2025-05-28,4055475.236630665,3482731.836931892,4603199.618753076
2025-05-29,3983744.27337462,3439327.1917251525,4535886.096583633
2025-05-30,3949976.091211334,3397640.700038723,4520147.225688085
2025-05-31,4499221.184010103,3936511.1377828005,5088541.525675803
2025-06-01,4733700.40487489,4208081.096462996,5276430.352517066
2025-06-02,4034863.26664789,3482052.960148238,4614469.0922812885
2025-06-03,4012866.2749512284,3482023.8161965185,4561588.761530189
2025-06-04,4165518.425685202,3561270.6323037758,4732896.225892852
2025-06-05,4119371.435508749,3576979.4043012955,4687906.056496122
2025-06-06,4109380.479547154,3536707.7658651895,4662698.054196751
2025-06-07,4680256.465145999,4138029.290724658,5217705.2870581355
2025-06-08,4933918.6068607895,4399976.386726706,5527333.739627906
2025-06-09,4251556.454338802,3688867.031934945,4764905.477645616
2025-06-10,4243111.23720036,3694251.2773037353,4792263.267914571
2025-06-11,4406223.65974596,3841021.828788144,4985443.413447056
2025-06-12,4367325.724609578,3801488.5452109836,4918943.290434786
2025-06-13,4361302.376162918,3805842.4497440583,4951608.505294108
2025-06-14,4932844.014977979,4392204.625945862,5522732.32104945
2025-06-15,5183898.6744391,4633688.838922248,5755523.04626784
2025-06-16,4495733.038955597,3907790.124943007,5065312.0593168335
2025-06-17,4478412.196914465,3898193.057789665,5051231.930675401
2025-06-18,4629745.290313478,4083416.568571643,5199495.423473242
2025-06-19,4576374.669095076,4001135.6318387375,5096017.747611438
2025-06-20,4553434.369581896,3923374.911439658,5106997.386998555
2025-06-21,5105898.996905391,4562493.766605327,5676667.051720926
2025-06-22,5336031.831394759,4738156.780756672,5895361.271403578
2025-06-23,4625441.368944138,4047315.2703677607,5166737.372788846
2025-06-24,4584556.221118468,3971877.730314087,5163403.097487253
2025-06-25,4711565.573222064,4163888.0987268197,5268186.608282022
2025-06-26,4633502.849496356,4052442.7090465636,5242049.756925279
2025-06-27,4585898.451667319,4025352.2767403484,5165576.369953777
2025-06-28,5114122.70473386,4491529.7884405,5671138.017717151
2025-06-29,5320827.891699754,4780228.963839407,5905662.822035372
2025-06-30,4587998.657406167,4023890.3109722757,5159148.203418616
2025-07-01,4526420.785926444,3958749.1232700883,5090345.30489191
2025-07-02,4634615.636965532,4071493.6361880433,5197239.2878355095
2025-07-03,4539917.985157889,4000590.7919616667,5121509.028664066
2025-07-04,4478123.230173292,3862165.7207275224,5061916.89344706
2025-07-05,4994825.218033654,4425018.581201993,5568224.6954356525
2025-07-06,5192853.665009697,4610126.83780917,5774273.707999025
2025-07-07,4454320.574453926,3847779.6915611257,5015388.021067453
2025-07-08,4390085.759010221,3824894.5393555616,4950500.916424914
2025-07-09,4498688.85628527,3928289.153199051,5068289.989153451
2025-07-10,4407425.675905844,3860832.4768697703,4963896.130162205
2025-07-11,4351994.927854794,3806259.999815857,4922588.770736649
2025-07-12,4877836.639134248,4354241.094271338,5442229.553480256
2025-07-13,5087571.298163265,4500689.3561799945,5659534.785348303
2025-07-14,4363049.14371189,3772155.9970211163,4976787.083196384
2025-07-15,4314819.713278521,3704348.720389737,4861979.000199078
2025-07-16,4441069.015100443,3845474.0243625594,5015785.837620306
2025-07-17,4368702.110400614,3767339.333446475,4911402.998434246
2025-07-18,4332997.075922832,3788704.461467749,4914994.454331913
2025-07-19,4878951.545696217,4324660.671355032,5437178.3053004155
2025-07-20,5108730.7357517565,4580514.368753383,5709243.028373956
2025-07-21,4403726.207108262,3853596.0415590536,4993726.1046495475
2025-07-22,4374035.297138316,3809205.9863706864,4938669.77047331
2025-07-23,4517408.378738899,3949776.7139403294,5087170.412271488
2025-07-24,4460341.513356877,3887818.9359317925,5034538.854060944
2025-07-25,4437740.236295786,3834093.190863148,4972317.404511917
2025-07-26,4994275.436048954,4420898.391224475,5584529.881518211
2025-07-27,5231839.994343956,4663219.4962685825,5791763.701145551
